Application Name,Evaluation Date,Stage
qtscan,2021-10-03T13:45:38.647+01:00,build
laravel,2021-10-03T16:51:42.918+01:00,build
p1,2021-09-17T15:40:29.351+01:00,build
webgoat-vscode,2021-11-22T11:38:03.156Z,develop
conanapp3,2021-10-03T12:16:41.085+01:00,build
openssl300,2021-09-27T12:14:23.798+01:00,build
velo2,2021-10-13T12:12:12.662+01:00,build
wbg11,2021-10-03T08:57:25.163+01:00,build
wbg11,2021-12-08T00:00:22.780Z,source
wg3,2021-10-08T12:13:08.813+01:00,build
wg1,2021-11-09T10:59:33.635Z,build
wg1,2021-12-08T00:00:22.780Z,source
loadscanxml,2021-10-18T14:37:21.300+01:00,build
maven-simple,2021-10-05T12:40:24.265+01:00,build
webgoat-bamboo,2021-11-12T09:41:29.380Z,build
wg10,2021-10-03T10:00:24.762+01:00,build
wg10,2021-12-08T00:00:22.780Z,source
sm-v1,2021-09-08T13:35:30.292+01:00,develop
wg2,2021-09-07T16:22:57.186+01:00,build
velocity,2021-09-27T16:12:45.299+01:00,build
jline2,2021-10-05T13:30:25.908+01:00,build
webgoat1,2021-11-09T11:05:21.167Z,build
producer,2021-10-03T17:33:34.235+01:00,build
openssl111k-2,2021-10-14T08:02:54.674+01:00,build
conanapp5,2021-09-22T18:07:05.398+01:00,build
conanapp4,2021-09-22T18:02:44.876+01:00,build
rapp,2021-09-09T10:52:45.736+01:00,build
openssl102h,2021-09-28T08:38:27.218+01:00,build
openssl111k,2021-10-13T10:43:04.148+01:00,build
webgoat,2021-10-03T20:07:34.729+01:00,build
openssl102-2,2021-10-14T09:48:52.669+01:00,build
r1,2021-09-08T18:31:37.119+01:00,build
webg2,2021-10-03T08:59:49.446+01:00,build
webg2,2021-12-08T00:00:23.290Z,source
simple-gradle,2021-09-28T09:19:41.579+01:00,build
openssl102,2021-10-13T10:35:31.730+01:00,build
yarn-tut__solao,2021-12-08T00:00:22.634Z,source
maven-simple-2,2021-10-03T15:44:44.126+01:00,build
bspecs__solao,2021-12-08T00:00:22.565Z,source
webgoat-legacy-ci-2,2021-10-11T09:45:43.081+01:00,build
maven-simple1,2021-09-24T11:11:53.830+01:00,build
wbg20,2021-10-03T09:46:44.721+01:00,build
wbg20,2021-12-08T00:00:22.780Z,source
smproto-ui,2021-09-30T12:05:24.570+01:00,build
jline,2021-10-05T12:38:11.120+01:00,build
conanapp,2021-10-08T10:46:29.505+01:00,build
conanapp2,2021-10-14T09:47:45.812+01:00,build
yarntut,2021-09-08T13:36:21.062+01:00,develop
